SessionID,DateKey,OperatingRoomID,DepartmentID,SessionType,PlannedStartDateTime,PlannedEndDateTime,PlannedMinutes,AvailableMinutes,IsEmergencySession
SES000095,20220112,OR06,D10,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000096,20220112,OR07,D03,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000097,20220112,OR08,D09,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000098,20220112,OR09,D02,Emergency,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,1
SES000099,20220112,OR10,D04,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000100,20220112,OR11,D02,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000101,20220112,OR12,D10,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000102,20220113,OR01,D09,Full Day,2022-01-13 08:00:00,2022-01-13 17:00:00,540,510,0
SES000103,20220113,OR02,D01,Full Day,2022-01-13 08:00:00,2022-01-13 17:00:00,540,510,0
SES000104,20220113,OR03,D08,Afternoon,2022-01-13 13:00:00,2022-01-13 17:00:00,240,225,0
SES000105,20220113,OR04,D10,Afternoon,2022-01-13 13:00:00,2022-01-13 17:00:00,240,225,0
SES000106,20220113,OR05,D02,Morning,2022-01-13 08:00:00,2022-01-13 12:30:00,270,250,0
SES000107,20220113,OR06,D02,Full Day,2022-01-13 08:00:00,2022-01-13 17:00:00,540,510,0
SES000108,20220113,OR07,D01,Full Day,2022-01-13 08:00:00,2022-01-13 17:00:00,540,510,0
SES000109,20220113,OR08,D10,Full Day,2022-01-13 08:00:00,2022-01-13 17:00:00,540,510,0
SES000110,20220113,OR09,D02,Emergency,2022-01-13 08:00:00,2022-01-13 17:00:00,540,510,1
SES000111,20220113,OR10,D04,Morning,2022-01-13 08:00:00,2022-01-13 12:30:00,270,250,0
SES000112,20220113,OR11,D10,Full Day,2022-01-13 08:00:00,2022-01-13 17:00:00,540,510,0
SES000113,20220113,OR12,D05,Afternoon,2022-01-13 13:00:00,2022-01-13 17:00:00,240,225,0
SES000114,20220114,OR01,D02,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000115,20220114,OR02,D10,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000116,20220114,OR03,D05,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000117,20220114,OR04,D01,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000118,20220114,OR05,D04,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000119,20220114,OR06,D02,Morning,2022-01-14 08:00:00,2022-01-14 12:30:00,270,250,0
SES000120,20220114,OR07,D01,Afternoon,2022-01-14 13:00:00,2022-01-14 17:00:00,240,225,0
SES000121,20220114,OR08,D05,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000122,20220114,OR09,D08,Emergency,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,1
SES000123,20220114,OR10,D01,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000124,20220114,OR11,D02,Afternoon,2022-01-14 13:00:00,2022-01-14 17:00:00,240,225,0
SES000125,20220114,OR12,D06,Full Day,2022-01-14 08:00:00,2022-01-14 17:00:00,540,510,0
SES000126,20220115,OR09,D08,Emergency,2022-01-15 08:00:00,2022-01-15 17:00:00,540,510,1
SES000127,20220116,OR09,D10,Emergency,2022-01-16 08:00:00,2022-01-16 17:00:00,540,510,1
SES000128,20220117,OR01,D06,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000129,20220117,OR02,D03,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000130,20220117,OR03,D02,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000131,20220117,OR04,D07,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000132,20220117,OR05,D04,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000133,20220117,OR06,D10,Afternoon,2022-01-17 13:00:00,2022-01-17 17:00:00,240,225,0
SES000134,20220117,OR07,D02,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000135,20220117,OR08,D10,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000136,20220117,OR09,D09,Emergency,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,1
SES000137,20220117,OR10,D03,Morning,2022-01-17 08:00:00,2022-01-17 12:30:00,270,250,0
SES000138,20220117,OR11,D08,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000139,20220117,OR12,D06,Full Day,2022-01-17 08:00:00,2022-01-17 17:00:00,540,510,0
SES000140,20220118,OR01,D06,Afternoon,2022-01-18 13:00:00,2022-01-18 17:00:00,240,225,0
SES000141,20220118,OR02,D08,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000142,20220118,OR03,D06,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000143,20220118,OR04,D01,Afternoon,2022-01-18 13:00:00,2022-01-18 17:00:00,240,225,0
SES000144,20220118,OR05,D01,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000145,20220118,OR06,D02,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000146,20220118,OR07,D06,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000147,20220118,OR08,D06,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000148,20220118,OR09,D02,Emergency,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,1
SES000149,20220118,OR10,D09,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000150,20220118,OR11,D01,Morning,2022-01-18 08:00:00,2022-01-18 12:30:00,270,250,0
SES000151,20220118,OR12,D02,Full Day,2022-01-18 08:00:00,2022-01-18 17:00:00,540,510,0
SES000152,20220119,OR01,D07,Full Day,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,0
SES000153,20220119,OR02,D02,Full Day,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,0
SES000154,20220119,OR03,D05,Full Day,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,0
SES000155,20220119,OR04,D01,Full Day,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,0
SES000156,20220119,OR05,D09,Full Day,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,0
SES000157,20220119,OR06,D05,Afternoon,2022-01-19 13:00:00,2022-01-19 17:00:00,240,225,0
SES000158,20220119,OR07,D05,Morning,2022-01-19 08:00:00,2022-01-19 12:30:00,270,250,0
SES000159,20220119,OR08,D01,Full Day,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,0
SES000160,20220119,OR09,D03,Emergency,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,1
SES000161,20220119,OR10,D07,Afternoon,2022-01-19 13:00:00,2022-01-19 17:00:00,240,225,0
SES000162,20220119,OR11,D09,Morning,2022-01-19 08:00:00,2022-01-19 12:30:00,270,250,0
SES000163,20220119,OR12,D02,Full Day,2022-01-19 08:00:00,2022-01-19 17:00:00,540,510,0
SES000164,20220120,OR01,D07,Full Day,2022-01-20 08:00:00,2022-01-20 17:00:00,540,510,0
SES000165,20220120,OR02,D03,Morning,2022-01-20 08:00:00,2022-01-20 12:30:00,270,250,0
SES000166,20220120,OR03,D02,Full Day,2022-01-20 08:00:00,2022-01-20 17:00:00,540,510,0
SES000167,20220120,OR04,D09,Afternoon,2022-01-20 13:00:00,2022-01-20 17:00:00,240,225,0
SES000168,20220120,OR05,D08,Afternoon,2022-01-20 13:00:00,2022-01-20 17:00:00,240,225,0
SES000169,20220120,OR06,D01,Morning,2022-01-20 08:00:00,2022-01-20 12:30:00,270,250,0
SES000170,20220120,OR07,D03,Full Day,2022-01-20 08:00:00,2022-01-20 17:00:00,540,510,0
SES000171,20220120,OR08,D07,Afternoon,2022-01-20 13:00:00,2022-01-20 17:00:00,240,225,0
SES000172,20220120,OR09,D09,Emergency,2022-01-20 08:00:00,2022-01-20 17:00:00,540,510,1
SES000173,20220120,OR10,D02,Morning,2022-01-20 08:00:00,2022-01-20 12:30:00,270,250,0
SES000174,20220120,OR11,D01,Morning,2022-01-20 08:00:00,2022-01-20 12:30:00,270,250,0
SES000175,20220120,OR12,D09,Morning,2022-01-20 08:00:00,2022-01-20 12:30:00,270,250,0
SES000176,20220121,OR01,D08,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000177,20220121,OR02,D02,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000178,20220121,OR03,D02,Morning,2022-01-21 08:00:00,2022-01-21 12:30:00,270,250,0
SES000179,20220121,OR04,D02,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000180,20220121,OR05,D09,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000181,20220121,OR06,D02,Afternoon,2022-01-21 13:00:00,2022-01-21 17:00:00,240,225,0
SES000182,20220121,OR07,D03,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000183,20220121,OR08,D05,Afternoon,2022-01-21 13:00:00,2022-01-21 17:00:00,240,225,0
SES000184,20220121,OR09,D10,Emergency,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,1
SES000185,20220121,OR10,D10,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000186,20220121,OR11,D10,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000187,20220121,OR12,D01,Full Day,2022-01-21 08:00:00,2022-01-21 17:00:00,540,510,0
SES000188,20220122,OR09,D08,Emergency,2022-01-22 08:00:00,2022-01-22 17:00:00,540,510,1
SES000189,20220123,OR09,D08,Emergency,2022-01-23 08:00:00,2022-01-23 17:00:00,540,510,1
SES000190,20220123,OR10,D03,Full Day,2022-01-23 08:00:00,2022-01-23 17:00:00,540,510,0
SES000191,20220124,OR01,D02,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000192,20220124,OR02,D01,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000193,20220124,OR03,D05,Afternoon,2022-01-24 13:00:00,2022-01-24 17:00:00,240,225,0
SES000194,20220124,OR04,D07,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000195,20220124,OR05,D03,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000196,20220124,OR06,D06,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000197,20220124,OR07,D03,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000198,20220124,OR08,D06,Morning,2022-01-24 08:00:00,2022-01-24 12:30:00,270,250,0
SES000199,20220124,OR09,D03,Emergency,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,1
SES000200,20220124,OR10,D03,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000201,20220124,OR11,D02,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000202,20220124,OR12,D04,Full Day,2022-01-24 08:00:00,2022-01-24 17:00:00,540,510,0
SES000203,20220125,OR01,D06,Afternoon,2022-01-25 13:00:00,2022-01-25 17:00:00,240,225,0
SES000204,20220125,OR02,D06,Afternoon,2022-01-25 13:00:00,2022-01-25 17:00:00,240,225,0
SES000205,20220125,OR03,D05,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000206,20220125,OR04,D02,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000207,20220125,OR05,D05,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000208,20220125,OR06,D04,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000209,20220125,OR07,D02,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000210,20220125,OR08,D09,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000211,20220125,OR09,D09,Emergency,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,1
SES000212,20220125,OR10,D01,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000213,20220125,OR11,D06,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000214,20220125,OR12,D08,Full Day,2022-01-25 08:00:00,2022-01-25 17:00:00,540,510,0
SES000215,20220126,OR01,D06,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000216,20220126,OR02,D02,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000217,20220126,OR03,D02,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000218,20220126,OR04,D08,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000219,20220126,OR05,D03,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000220,20220126,OR06,D02,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000221,20220126,OR07,D04,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000222,20220126,OR08,D06,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000223,20220126,OR09,D01,Emergency,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,1
SES000224,20220126,OR10,D07,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000225,20220126,OR11,D04,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000226,20220126,OR12,D10,Full Day,2022-01-26 08:00:00,2022-01-26 17:00:00,540,510,0
SES000227,20220127,OR01,D01,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000228,20220127,OR02,D08,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000229,20220127,OR03,D07,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000230,20220127,OR04,D10,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000231,20220127,OR05,D10,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000232,20220127,OR06,D06,Afternoon,2022-01-27 13:00:00,2022-01-27 17:00:00,240,225,0
SES000233,20220127,OR07,D04,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000234,20220127,OR08,D05,Morning,2022-01-27 08:00:00,2022-01-27 12:30:00,270,250,0
SES000235,20220127,OR09,D09,Emergency,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,1
SES000236,20220127,OR10,D04,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000237,20220127,OR11,D02,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000238,20220127,OR12,D07,Full Day,2022-01-27 08:00:00,2022-01-27 17:00:00,540,510,0
SES000239,20220128,OR01,D06,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000240,20220128,OR02,D01,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000241,20220128,OR03,D02,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000242,20220128,OR04,D05,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000243,20220128,OR05,D02,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000244,20220128,OR06,D06,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000245,20220128,OR07,D03,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000246,20220128,OR08,D03,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000247,20220128,OR09,D02,Emergency,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,1
SES000248,20220128,OR10,D09,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000249,20220128,OR11,D06,Full Day,2022-01-28 08:00:00,2022-01-28 17:00:00,540,510,0
SES000250,20220128,OR12,D07,Morning,2022-01-28 08:00:00,2022-01-28 12:30:00,270,250,0
SES000251,20220129,OR09,D01,Emergency,2022-01-29 08:00:00,2022-01-29 17:00:00,540,510,1
SES000252,20220130,OR09,D08,Emergency,2022-01-30 08:00:00,2022-01-30 17:00:00,540,510,1
SES000253,20220131,OR01,D10,Morning,2022-01-31 08:00:00,2022-01-31 12:30:00,270,250,0
SES000254,20220131,OR02,D07,Full Day,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,0
SES000255,20220131,OR03,D05,Full Day,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,0
SES000256,20220131,OR04,D02,Full Day,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,0
SES000257,20220131,OR05,D01,Full Day,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,0
SES000258,20220131,OR06,D06,Full Day,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,0
SES000259,20220131,OR07,D02,Full Day,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,0
SES000260,20220131,OR08,D01,Full Day,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,0
SES000261,20220131,OR09,D08,Emergency,2022-01-31 08:00:00,2022-01-31 17:00:00,540,510,1
