DateKey,Date,Year,Quarter,MonthNumber,MonthName,YearMonth,WeekNumber,WeekdayNumber,WeekdayName,IsWeekend,FinancialYear
20220130,2022-01-30,2022,Q1,1,January,2022-Jan,4,7,Sunday,1,FY2022
20220131,2022-01-31,2022,Q1,1,January,2022-Jan,5,1,Monday,0,FY2022
20220201,2022-02-01,2022,Q1,2,February,2022-Feb,5,2,Tuesday,0,FY2022
20220202,2022-02-02,2022,Q1,2,February,2022-Feb,5,3,Wednesday,0,FY2022
20220203,2022-02-03,2022,Q1,2,February,2022-Feb,5,4,Thursday,0,FY2022
20220204,2022-02-04,2022,Q1,2,February,2022-Feb,5,5,Friday,0,FY2022
20220205,2022-02-05,2022,Q1,2,February,2022-Feb,5,6,Saturday,1,FY2022
20220206,2022-02-06,2022,Q1,2,February,2022-Feb,5,7,Sunday,1,FY2022
20220207,2022-02-07,2022,Q1,2,February,2022-Feb,6,1,Monday,0,FY2022
20220208,2022-02-08,2022,Q1,2,February,2022-Feb,6,2,Tuesday,0,FY2022
20220209,2022-02-09,2022,Q1,2,February,2022-Feb,6,3,Wednesday,0,FY2022
20220210,2022-02-10,2022,Q1,2,February,2022-Feb,6,4,Thursday,0,FY2022
20220211,2022-02-11,2022,Q1,2,February,2022-Feb,6,5,Friday,0,FY2022
20220212,2022-02-12,2022,Q1,2,February,2022-Feb,6,6,Saturday,1,FY2022
20220213,2022-02-13,2022,Q1,2,February,2022-Feb,6,7,Sunday,1,FY2022
20220214,2022-02-14,2022,Q1,2,February,2022-Feb,7,1,Monday,0,FY2022
20220215,2022-02-15,2022,Q1,2,February,2022-Feb,7,2,Tuesday,0,FY2022
20220216,2022-02-16,2022,Q1,2,February,2022-Feb,7,3,Wednesday,0,FY2022
20220217,2022-02-17,2022,Q1,2,February,2022-Feb,7,4,Thursday,0,FY2022
20220218,2022-02-18,2022,Q1,2,February,2022-Feb,7,5,Friday,0,FY2022
20220219,2022-02-19,2022,Q1,2,February,2022-Feb,7,6,Saturday,1,FY2022
20220220,2022-02-20,2022,Q1,2,February,2022-Feb,7,7,Sunday,1,FY2022
20220221,2022-02-21,2022,Q1,2,February,2022-Feb,8,1,Monday,0,FY2022
20220222,2022-02-22,2022,Q1,2,February,2022-Feb,8,2,Tuesday,0,FY2022
20220223,2022-02-23,2022,Q1,2,February,2022-Feb,8,3,Wednesday,0,FY2022
20220224,2022-02-24,2022,Q1,2,February,2022-Feb,8,4,Thursday,0,FY2022
20220225,2022-02-25,2022,Q1,2,February,2022-Feb,8,5,Friday,0,FY2022
20220226,2022-02-26,2022,Q1,2,February,2022-Feb,8,6,Saturday,1,FY2022
20220227,2022-02-27,2022,Q1,2,February,2022-Feb,8,7,Sunday,1,FY2022
20220228,2022-02-28,2022,Q1,2,February,2022-Feb,9,1,Monday,0,FY2022
20220301,2022-03-01,2022,Q1,3,March,2022-Mar,9,2,Tuesday,0,FY2022
20220302,2022-03-02,2022,Q1,3,March,2022-Mar,9,3,Wednesday,0,FY2022
20220303,2022-03-03,2022,Q1,3,March,2022-Mar,9,4,Thursday,0,FY2022
20220304,2022-03-04,2022,Q1,3,March,2022-Mar,9,5,Friday,0,FY2022
20220305,2022-03-05,2022,Q1,3,March,2022-Mar,9,6,Saturday,1,FY2022
20220306,2022-03-06,2022,Q1,3,March,2022-Mar,9,7,Sunday,1,FY2022
20220307,2022-03-07,2022,Q1,3,March,2022-Mar,10,1,Monday,0,FY2022
20220308,2022-03-08,2022,Q1,3,March,2022-Mar,10,2,Tuesday,0,FY2022
20220309,2022-03-09,2022,Q1,3,March,2022-Mar,10,3,Wednesday,0,FY2022
20220310,2022-03-10,2022,Q1,3,March,2022-Mar,10,4,Thursday,0,FY2022
20220311,2022-03-11,2022,Q1,3,March,2022-Mar,10,5,Friday,0,FY2022
20220312,2022-03-12,2022,Q1,3,March,2022-Mar,10,6,Saturday,1,FY2022
20220313,2022-03-13,2022,Q1,3,March,2022-Mar,10,7,Sunday,1,FY2022
20220314,2022-03-14,2022,Q1,3,March,2022-Mar,11,1,Monday,0,FY2022
20220315,2022-03-15,2022,Q1,3,March,2022-Mar,11,2,Tuesday,0,FY2022
20220316,2022-03-16,2022,Q1,3,March,2022-Mar,11,3,Wednesday,0,FY2022
20220317,2022-03-17,2022,Q1,3,March,2022-Mar,11,4,Thursday,0,FY2022
20220318,2022-03-18,2022,Q1,3,March,2022-Mar,11,5,Friday,0,FY2022
20220319,2022-03-19,2022,Q1,3,March,2022-Mar,11,6,Saturday,1,FY2022
20220320,2022-03-20,2022,Q1,3,March,2022-Mar,11,7,Sunday,1,FY2022
20220321,2022-03-21,2022,Q1,3,March,2022-Mar,12,1,Monday,0,FY2022
20220322,2022-03-22,2022,Q1,3,March,2022-Mar,12,2,Tuesday,0,FY2022
20220323,2022-03-23,2022,Q1,3,March,2022-Mar,12,3,Wednesday,0,FY2022
20220324,2022-03-24,2022,Q1,3,March,2022-Mar,12,4,Thursday,0,FY2022
20220325,2022-03-25,2022,Q1,3,March,2022-Mar,12,5,Friday,0,FY2022
20220326,2022-03-26,2022,Q1,3,March,2022-Mar,12,6,Saturday,1,FY2022
20220327,2022-03-27,2022,Q1,3,March,2022-Mar,12,7,Sunday,1,FY2022
20220328,2022-03-28,2022,Q1,3,March,2022-Mar,13,1,Monday,0,FY2022
20220329,2022-03-29,2022,Q1,3,March,2022-Mar,13,2,Tuesday,0,FY2022
20220330,2022-03-30,2022,Q1,3,March,2022-Mar,13,3,Wednesday,0,FY2022
20220331,2022-03-31,2022,Q1,3,March,2022-Mar,13,4,Thursday,0,FY2022
20220401,2022-04-01,2022,Q2,4,April,2022-Apr,13,5,Friday,0,FY2022
20220402,2022-04-02,2022,Q2,4,April,2022-Apr,13,6,Saturday,1,FY2022
20220403,2022-04-03,2022,Q2,4,April,2022-Apr,13,7,Sunday,1,FY2022
20220404,2022-04-04,2022,Q2,4,April,2022-Apr,14,1,Monday,0,FY2022
20220405,2022-04-05,2022,Q2,4,April,2022-Apr,14,2,Tuesday,0,FY2022
20220406,2022-04-06,2022,Q2,4,April,2022-Apr,14,3,Wednesday,0,FY2022
20220407,2022-04-07,2022,Q2,4,April,2022-Apr,14,4,Thursday,0,FY2022
20220408,2022-04-08,2022,Q2,4,April,2022-Apr,14,5,Friday,0,FY2022
20220409,2022-04-09,2022,Q2,4,April,2022-Apr,14,6,Saturday,1,FY2022
20220410,2022-04-10,2022,Q2,4,April,2022-Apr,14,7,Sunday,1,FY2022
20220411,2022-04-11,2022,Q2,4,April,2022-Apr,15,1,Monday,0,FY2022
20220412,2022-04-12,2022,Q2,4,April,2022-Apr,15,2,Tuesday,0,FY2022
20220413,2022-04-13,2022,Q2,4,April,2022-Apr,15,3,Wednesday,0,FY2022
20220414,2022-04-14,2022,Q2,4,April,2022-Apr,15,4,Thursday,0,FY2022
20220415,2022-04-15,2022,Q2,4,April,2022-Apr,15,5,Friday,0,FY2022
20220416,2022-04-16,2022,Q2,4,April,2022-Apr,15,6,Saturday,1,FY2022
20220417,2022-04-17,2022,Q2,4,April,2022-Apr,15,7,Sunday,1,FY2022
20220418,2022-04-18,2022,Q2,4,April,2022-Apr,16,1,Monday,0,FY2022
20220419,2022-04-19,2022,Q2,4,April,2022-Apr,16,2,Tuesday,0,FY2022
20220420,2022-04-20,2022,Q2,4,April,2022-Apr,16,3,Wednesday,0,FY2022
20220421,2022-04-21,2022,Q2,4,April,2022-Apr,16,4,Thursday,0,FY2022
20220422,2022-04-22,2022,Q2,4,April,2022-Apr,16,5,Friday,0,FY2022
20220423,2022-04-23,2022,Q2,4,April,2022-Apr,16,6,Saturday,1,FY2022
20220424,2022-04-24,2022,Q2,4,April,2022-Apr,16,7,Sunday,1,FY2022
20220425,2022-04-25,2022,Q2,4,April,2022-Apr,17,1,Monday,0,FY2022
20220426,2022-04-26,2022,Q2,4,April,2022-Apr,17,2,Tuesday,0,FY2022
20220427,2022-04-27,2022,Q2,4,April,2022-Apr,17,3,Wednesday,0,FY2022
20220428,2022-04-28,2022,Q2,4,April,2022-Apr,17,4,Thursday,0,FY2022
20220429,2022-04-29,2022,Q2,4,April,2022-Apr,17,5,Friday,0,FY2022
20220430,2022-04-30,2022,Q2,4,April,2022-Apr,17,6,Saturday,1,FY2022
20220501,2022-05-01,2022,Q2,5,May,2022-May,17,7,Sunday,1,FY2022
20220502,2022-05-02,2022,Q2,5,May,2022-May,18,1,Monday,0,FY2022
20220503,2022-05-03,2022,Q2,5,May,2022-May,18,2,Tuesday,0,FY2022
20220504,2022-05-04,2022,Q2,5,May,2022-May,18,3,Wednesday,0,FY2022
20220505,2022-05-05,2022,Q2,5,May,2022-May,18,4,Thursday,0,FY2022
20220506,2022-05-06,2022,Q2,5,May,2022-May,18,5,Friday,0,FY2022
20220507,2022-05-07,2022,Q2,5,May,2022-May,18,6,Saturday,1,FY2022
20220508,2022-05-08,2022,Q2,5,May,2022-May,18,7,Sunday,1,FY2022
20220509,2022-05-09,2022,Q2,5,May,2022-May,19,1,Monday,0,FY2022
20220510,2022-05-10,2022,Q2,5,May,2022-May,19,2,Tuesday,0,FY2022
20220511,2022-05-11,2022,Q2,5,May,2022-May,19,3,Wednesday,0,FY2022
20220512,2022-05-12,2022,Q2,5,May,2022-May,19,4,Thursday,0,FY2022
20220513,2022-05-13,2022,Q2,5,May,2022-May,19,5,Friday,0,FY2022
20220514,2022-05-14,2022,Q2,5,May,2022-May,19,6,Saturday,1,FY2022
20220515,2022-05-15,2022,Q2,5,May,2022-May,19,7,Sunday,1,FY2022
20220516,2022-05-16,2022,Q2,5,May,2022-May,20,1,Monday,0,FY2022
20220517,2022-05-17,2022,Q2,5,May,2022-May,20,2,Tuesday,0,FY2022
20220518,2022-05-18,2022,Q2,5,May,2022-May,20,3,Wednesday,0,FY2022
20220519,2022-05-19,2022,Q2,5,May,2022-May,20,4,Thursday,0,FY2022
20220520,2022-05-20,2022,Q2,5,May,2022-May,20,5,Friday,0,FY2022
20220521,2022-05-21,2022,Q2,5,May,2022-May,20,6,Saturday,1,FY2022
20220522,2022-05-22,2022,Q2,5,May,2022-May,20,7,Sunday,1,FY2022
20220523,2022-05-23,2022,Q2,5,May,2022-May,21,1,Monday,0,FY2022
20220524,2022-05-24,2022,Q2,5,May,2022-May,21,2,Tuesday,0,FY2022
20220525,2022-05-25,2022,Q2,5,May,2022-May,21,3,Wednesday,0,FY2022
20220526,2022-05-26,2022,Q2,5,May,2022-May,21,4,Thursday,0,FY2022
20220527,2022-05-27,2022,Q2,5,May,2022-May,21,5,Friday,0,FY2022
20220528,2022-05-28,2022,Q2,5,May,2022-May,21,6,Saturday,1,FY2022
20220529,2022-05-29,2022,Q2,5,May,2022-May,21,7,Sunday,1,FY2022
20220530,2022-05-30,2022,Q2,5,May,2022-May,22,1,Monday,0,FY2022
20220531,2022-05-31,2022,Q2,5,May,2022-May,22,2,Tuesday,0,FY2022
20220601,2022-06-01,2022,Q2,6,June,2022-Jun,22,3,Wednesday,0,FY2022
20220602,2022-06-02,2022,Q2,6,June,2022-Jun,22,4,Thursday,0,FY2022
20220603,2022-06-03,2022,Q2,6,June,2022-Jun,22,5,Friday,0,FY2022
20220604,2022-06-04,2022,Q2,6,June,2022-Jun,22,6,Saturday,1,FY2022
20220605,2022-06-05,2022,Q2,6,June,2022-Jun,22,7,Sunday,1,FY2022
20220606,2022-06-06,2022,Q2,6,June,2022-Jun,23,1,Monday,0,FY2022
20220607,2022-06-07,2022,Q2,6,June,2022-Jun,23,2,Tuesday,0,FY2022
20220608,2022-06-08,2022,Q2,6,June,2022-Jun,23,3,Wednesday,0,FY2022
20220609,2022-06-09,2022,Q2,6,June,2022-Jun,23,4,Thursday,0,FY2022
20220610,2022-06-10,2022,Q2,6,June,2022-Jun,23,5,Friday,0,FY2022
20220611,2022-06-11,2022,Q2,6,June,2022-Jun,23,6,Saturday,1,FY2022
20220612,2022-06-12,2022,Q2,6,June,2022-Jun,23,7,Sunday,1,FY2022
20220613,2022-06-13,2022,Q2,6,June,2022-Jun,24,1,Monday,0,FY2022
20220614,2022-06-14,2022,Q2,6,June,2022-Jun,24,2,Tuesday,0,FY2022
20220615,2022-06-15,2022,Q2,6,June,2022-Jun,24,3,Wednesday,0,FY2022
20220616,2022-06-16,2022,Q2,6,June,2022-Jun,24,4,Thursday,0,FY2022
20220617,2022-06-17,2022,Q2,6,June,2022-Jun,24,5,Friday,0,FY2022
20220618,2022-06-18,2022,Q2,6,June,2022-Jun,24,6,Saturday,1,FY2022
20220619,2022-06-19,2022,Q2,6,June,2022-Jun,24,7,Sunday,1,FY2022
20220620,2022-06-20,2022,Q2,6,June,2022-Jun,25,1,Monday,0,FY2022
20220621,2022-06-21,2022,Q2,6,June,2022-Jun,25,2,Tuesday,0,FY2022
20220622,2022-06-22,2022,Q2,6,June,2022-Jun,25,3,Wednesday,0,FY2022
20220623,2022-06-23,2022,Q2,6,June,2022-Jun,25,4,Thursday,0,FY2022
20220624,2022-06-24,2022,Q2,6,June,2022-Jun,25,5,Friday,0,FY2022
20220625,2022-06-25,2022,Q2,6,June,2022-Jun,25,6,Saturday,1,FY2022
20220626,2022-06-26,2022,Q2,6,June,2022-Jun,25,7,Sunday,1,FY2022
20220627,2022-06-27,2022,Q2,6,June,2022-Jun,26,1,Monday,0,FY2022
20220628,2022-06-28,2022,Q2,6,June,2022-Jun,26,2,Tuesday,0,FY2022
20220629,2022-06-29,2022,Q2,6,June,2022-Jun,26,3,Wednesday,0,FY2022
20220630,2022-06-30,2022,Q2,6,June,2022-Jun,26,4,Thursday,0,FY2022
20220701,2022-07-01,2022,Q3,7,July,2022-Jul,26,5,Friday,0,FY2023
20220702,2022-07-02,2022,Q3,7,July,2022-Jul,26,6,Saturday,1,FY2023
20220703,2022-07-03,2022,Q3,7,July,2022-Jul,26,7,Sunday,1,FY2023
20220704,2022-07-04,2022,Q3,7,July,2022-Jul,27,1,Monday,0,FY2023
20220705,2022-07-05,2022,Q3,7,July,2022-Jul,27,2,Tuesday,0,FY2023
20220706,2022-07-06,2022,Q3,7,July,2022-Jul,27,3,Wednesday,0,FY2023
20220707,2022-07-07,2022,Q3,7,July,2022-Jul,27,4,Thursday,0,FY2023
20220708,2022-07-08,2022,Q3,7,July,2022-Jul,27,5,Friday,0,FY2023
20220709,2022-07-09,2022,Q3,7,July,2022-Jul,27,6,Saturday,1,FY2023
20220710,2022-07-10,2022,Q3,7,July,2022-Jul,27,7,Sunday,1,FY2023
20220711,2022-07-11,2022,Q3,7,July,2022-Jul,28,1,Monday,0,FY2023
20220712,2022-07-12,2022,Q3,7,July,2022-Jul,28,2,Tuesday,0,FY2023
20220713,2022-07-13,2022,Q3,7,July,2022-Jul,28,3,Wednesday,0,FY2023
20220714,2022-07-14,2022,Q3,7,July,2022-Jul,28,4,Thursday,0,FY2023
20220715,2022-07-15,2022,Q3,7,July,2022-Jul,28,5,Friday,0,FY2023
20220716,2022-07-16,2022,Q3,7,July,2022-Jul,28,6,Saturday,1,FY2023
20220717,2022-07-17,2022,Q3,7,July,2022-Jul,28,7,Sunday,1,FY2023
20220718,2022-07-18,2022,Q3,7,July,2022-Jul,29,1,Monday,0,FY2023
20220719,2022-07-19,2022,Q3,7,July,2022-Jul,29,2,Tuesday,0,FY2023
20220720,2022-07-20,2022,Q3,7,July,2022-Jul,29,3,Wednesday,0,FY2023
20220721,2022-07-21,2022,Q3,7,July,2022-Jul,29,4,Thursday,0,FY2023
20220722,2022-07-22,2022,Q3,7,July,2022-Jul,29,5,Friday,0,FY2023
20220723,2022-07-23,2022,Q3,7,July,2022-Jul,29,6,Saturday,1,FY2023
20220724,2022-07-24,2022,Q3,7,July,2022-Jul,29,7,Sunday,1,FY2023
20220725,2022-07-25,2022,Q3,7,July,2022-Jul,30,1,Monday,0,FY2023
20220726,2022-07-26,2022,Q3,7,July,2022-Jul,30,2,Tuesday,0,FY2023
20220727,2022-07-27,2022,Q3,7,July,2022-Jul,30,3,Wednesday,0,FY2023
20220728,2022-07-28,2022,Q3,7,July,2022-Jul,30,4,Thursday,0,FY2023
20220729,2022-07-29,2022,Q3,7,July,2022-Jul,30,5,Friday,0,FY2023
20220730,2022-07-30,2022,Q3,7,July,2022-Jul,30,6,Saturday,1,FY2023
20220731,2022-07-31,2022,Q3,7,July,2022-Jul,30,7,Sunday,1,FY2023
20220801,2022-08-01,2022,Q3,8,August,2022-Aug,31,1,Monday,0,FY2023
20220802,2022-08-02,2022,Q3,8,August,2022-Aug,31,2,Tuesday,0,FY2023
20220803,2022-08-03,2022,Q3,8,August,2022-Aug,31,3,Wednesday,0,FY2023
20220804,2022-08-04,2022,Q3,8,August,2022-Aug,31,4,Thursday,0,FY2023
20220805,2022-08-05,2022,Q3,8,August,2022-Aug,31,5,Friday,0,FY2023
20220806,2022-08-06,2022,Q3,8,August,2022-Aug,31,6,Saturday,1,FY2023
20220807,2022-08-07,2022,Q3,8,August,2022-Aug,31,7,Sunday,1,FY2023
20220808,2022-08-08,2022,Q3,8,August,2022-Aug,32,1,Monday,0,FY2023
20220809,2022-08-09,2022,Q3,8,August,2022-Aug,32,2,Tuesday,0,FY2023
20220810,2022-08-10,2022,Q3,8,August,2022-Aug,32,3,Wednesday,0,FY2023
20220811,2022-08-11,2022,Q3,8,August,2022-Aug,32,4,Thursday,0,FY2023
20220812,2022-08-12,2022,Q3,8,August,2022-Aug,32,5,Friday,0,FY2023
20220813,2022-08-13,2022,Q3,8,August,2022-Aug,32,6,Saturday,1,FY2023
20220814,2022-08-14,2022,Q3,8,August,2022-Aug,32,7,Sunday,1,FY2023
20220815,2022-08-15,2022,Q3,8,August,2022-Aug,33,1,Monday,0,FY2023
20220816,2022-08-16,2022,Q3,8,August,2022-Aug,33,2,Tuesday,0,FY2023
20220817,2022-08-17,2022,Q3,8,August,2022-Aug,33,3,Wednesday,0,FY2023
20220818,2022-08-18,2022,Q3,8,August,2022-Aug,33,4,Thursday,0,FY2023
20220819,2022-08-19,2022,Q3,8,August,2022-Aug,33,5,Friday,0,FY2023
20220820,2022-08-20,2022,Q3,8,August,2022-Aug,33,6,Saturday,1,FY2023
20220821,2022-08-21,2022,Q3,8,August,2022-Aug,33,7,Sunday,1,FY2023
20220822,2022-08-22,2022,Q3,8,August,2022-Aug,34,1,Monday,0,FY2023
20220823,2022-08-23,2022,Q3,8,August,2022-Aug,34,2,Tuesday,0,FY2023
20220824,2022-08-24,2022,Q3,8,August,2022-Aug,34,3,Wednesday,0,FY2023
20220825,2022-08-25,2022,Q3,8,August,2022-Aug,34,4,Thursday,0,FY2023
20220826,2022-08-26,2022,Q3,8,August,2022-Aug,34,5,Friday,0,FY2023
20220827,2022-08-27,2022,Q3,8,August,2022-Aug,34,6,Saturday,1,FY2023
20220828,2022-08-28,2022,Q3,8,August,2022-Aug,34,7,Sunday,1,FY2023
20220829,2022-08-29,2022,Q3,8,August,2022-Aug,35,1,Monday,0,FY2023
20220830,2022-08-30,2022,Q3,8,August,2022-Aug,35,2,Tuesday,0,FY2023
20220831,2022-08-31,2022,Q3,8,August,2022-Aug,35,3,Wednesday,0,FY2023
20220901,2022-09-01,2022,Q3,9,September,2022-Sep,35,4,Thursday,0,FY2023
20220902,2022-09-02,2022,Q3,9,September,2022-Sep,35,5,Friday,0,FY2023
20220903,2022-09-03,2022,Q3,9,September,2022-Sep,35,6,Saturday,1,FY2023
20220904,2022-09-04,2022,Q3,9,September,2022-Sep,35,7,Sunday,1,FY2023
20220905,2022-09-05,2022,Q3,9,September,2022-Sep,36,1,Monday,0,FY2023
20220906,2022-09-06,2022,Q3,9,September,2022-Sep,36,2,Tuesday,0,FY2023
20220907,2022-09-07,2022,Q3,9,September,2022-Sep,36,3,Wednesday,0,FY2023
20220908,2022-09-08,2022,Q3,9,September,2022-Sep,36,4,Thursday,0,FY2023
20220909,2022-09-09,2022,Q3,9,September,2022-Sep,36,5,Friday,0,FY2023
20220910,2022-09-10,2022,Q3,9,September,2022-Sep,36,6,Saturday,1,FY2023
20220911,2022-09-11,2022,Q3,9,September,2022-Sep,36,7,Sunday,1,FY2023
20220912,2022-09-12,2022,Q3,9,September,2022-Sep,37,1,Monday,0,FY2023
20220913,2022-09-13,2022,Q3,9,September,2022-Sep,37,2,Tuesday,0,FY2023
20220914,2022-09-14,2022,Q3,9,September,2022-Sep,37,3,Wednesday,0,FY2023
20220915,2022-09-15,2022,Q3,9,September,2022-Sep,37,4,Thursday,0,FY2023
20220916,2022-09-16,2022,Q3,9,September,2022-Sep,37,5,Friday,0,FY2023
20220917,2022-09-17,2022,Q3,9,September,2022-Sep,37,6,Saturday,1,FY2023
20220918,2022-09-18,2022,Q3,9,September,2022-Sep,37,7,Sunday,1,FY2023
20220919,2022-09-19,2022,Q3,9,September,2022-Sep,38,1,Monday,0,FY2023
20220920,2022-09-20,2022,Q3,9,September,2022-Sep,38,2,Tuesday,0,FY2023
20220921,2022-09-21,2022,Q3,9,September,2022-Sep,38,3,Wednesday,0,FY2023
20220922,2022-09-22,2022,Q3,9,September,2022-Sep,38,4,Thursday,0,FY2023
20220923,2022-09-23,2022,Q3,9,September,2022-Sep,38,5,Friday,0,FY2023
20220924,2022-09-24,2022,Q3,9,September,2022-Sep,38,6,Saturday,1,FY2023
20220925,2022-09-25,2022,Q3,9,September,2022-Sep,38,7,Sunday,1,FY2023
20220926,2022-09-26,2022,Q3,9,September,2022-Sep,39,1,Monday,0,FY2023
20220927,2022-09-27,2022,Q3,9,September,2022-Sep,39,2,Tuesday,0,FY2023
20220928,2022-09-28,2022,Q3,9,September,2022-Sep,39,3,Wednesday,0,FY2023
20220929,2022-09-29,2022,Q3,9,September,2022-Sep,39,4,Thursday,0,FY2023
20220930,2022-09-30,2022,Q3,9,September,2022-Sep,39,5,Friday,0,FY2023
20221001,2022-10-01,2022,Q4,10,October,2022-Oct,39,6,Saturday,1,FY2023
20221002,2022-10-02,2022,Q4,10,October,2022-Oct,39,7,Sunday,1,FY2023
20221003,2022-10-03,2022,Q4,10,October,2022-Oct,40,1,Monday,0,FY2023
20221004,2022-10-04,2022,Q4,10,October,2022-Oct,40,2,Tuesday,0,FY2023
20221005,2022-10-05,2022,Q4,10,October,2022-Oct,40,3,Wednesday,0,FY2023
20221006,2022-10-06,2022,Q4,10,October,2022-Oct,40,4,Thursday,0,FY2023
20221007,2022-10-07,2022,Q4,10,October,2022-Oct,40,5,Friday,0,FY2023
20221008,2022-10-08,2022,Q4,10,October,2022-Oct,40,6,Saturday,1,FY2023
20221009,2022-10-09,2022,Q4,10,October,2022-Oct,40,7,Sunday,1,FY2023
20221010,2022-10-10,2022,Q4,10,October,2022-Oct,41,1,Monday,0,FY2023
20221011,2022-10-11,2022,Q4,10,October,2022-Oct,41,2,Tuesday,0,FY2023
20221012,2022-10-12,2022,Q4,10,October,2022-Oct,41,3,Wednesday,0,FY2023
20221013,2022-10-13,2022,Q4,10,October,2022-Oct,41,4,Thursday,0,FY2023
20221014,2022-10-14,2022,Q4,10,October,2022-Oct,41,5,Friday,0,FY2023
20221015,2022-10-15,2022,Q4,10,October,2022-Oct,41,6,Saturday,1,FY2023
20221016,2022-10-16,2022,Q4,10,October,2022-Oct,41,7,Sunday,1,FY2023
20221017,2022-10-17,2022,Q4,10,October,2022-Oct,42,1,Monday,0,FY2023
20221018,2022-10-18,2022,Q4,10,October,2022-Oct,42,2,Tuesday,0,FY2023
20221019,2022-10-19,2022,Q4,10,October,2022-Oct,42,3,Wednesday,0,FY2023
20221020,2022-10-20,2022,Q4,10,October,2022-Oct,42,4,Thursday,0,FY2023
20221021,2022-10-21,2022,Q4,10,October,2022-Oct,42,5,Friday,0,FY2023
20221022,2022-10-22,2022,Q4,10,October,2022-Oct,42,6,Saturday,1,FY2023
20221023,2022-10-23,2022,Q4,10,October,2022-Oct,42,7,Sunday,1,FY2023
20221024,2022-10-24,2022,Q4,10,October,2022-Oct,43,1,Monday,0,FY2023
20221025,2022-10-25,2022,Q4,10,October,2022-Oct,43,2,Tuesday,0,FY2023
20221026,2022-10-26,2022,Q4,10,October,2022-Oct,43,3,Wednesday,0,FY2023
20221027,2022-10-27,2022,Q4,10,October,2022-Oct,43,4,Thursday,0,FY2023
20221028,2022-10-28,2022,Q4,10,October,2022-Oct,43,5,Friday,0,FY2023
20221029,2022-10-29,2022,Q4,10,October,2022-Oct,43,6,Saturday,1,FY2023
20221030,2022-10-30,2022,Q4,10,October,2022-Oct,43,7,Sunday,1,FY2023
20221031,2022-10-31,2022,Q4,10,October,2022-Oct,44,1,Monday,0,FY2023
20221101,2022-11-01,2022,Q4,11,November,2022-Nov,44,2,Tuesday,0,FY2023
20221102,2022-11-02,2022,Q4,11,November,2022-Nov,44,3,Wednesday,0,FY2023
20221103,2022-11-03,2022,Q4,11,November,2022-Nov,44,4,Thursday,0,FY2023
20221104,2022-11-04,2022,Q4,11,November,2022-Nov,44,5,Friday,0,FY2023
20221105,2022-11-05,2022,Q4,11,November,2022-Nov,44,6,Saturday,1,FY2023
